ID_Cliente,Idade,Qtd_Filhos,Rendimento_Anual,Anos_empregado,Tamanho_Familia,Tem_Carro,Tem_Casa_Propria,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Categoria_de_renda,Grau_Escolaridade,Estado_Civil,Moradia,Ocupacao,Mau
5008853,56.0,0.0,112500.0,12.2,2.0,1,1,0,1,0,Associado comercial,Ensino medio,Casado,Casa propria,Motorista,0
5008855,43.0,2.0,135000.0,8.7,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008857,43.0,2.0,135000.0,8.7,4.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008868,44.0,1.0,211500.0,15.0,3.0,0,1,0,0,0,Servidor publico,Ensino medio,Uniao estavel,Casa propria,Equipe principal,0
5008873,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008874,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008875,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008876,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008879,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008881,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008882,34.0,2.0,126000.0,4.9,4.0,0,1,0,0,1,Associado comercial,Ensino superior,Casado,Casa propria,Gerencia,0
5008884,55.0,0.0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
5008892,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008893,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008894,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008895,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008896,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008897,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008898,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008899,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008900,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008901,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008902,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008903,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008904,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008905,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008906,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008907,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008908,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008909,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008910,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008911,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008912,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008913,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008914,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008915,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008916,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008917,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008918,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008919,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008920,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008921,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008922,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008923,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008924,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008925,43.0,0.0,297000.0,8.9,1.0,0,1,0,0,0,Associado comercial,Ensino medio,Solteiro,Alugado,Construcao Civil,0
5008942,37.0,0.0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
5008943,37.0,0.0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
5008944,37.0,0.0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
5008945,37.0,0.0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
5008946,37.0,0.0,157500.0,13.3,2.0,0,0,0,1,0,Associado comercial,Ensino superior,Casado,Casa propria,Alta tecnologia,0
5008947,42.0,0.0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5008948,42.0,0.0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5008950,42.0,0.0,135000.0,3.9,2.0,0,1,1,1,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5008951,28.0,1.0,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
5008952,28.0,1.0,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
5008953,28.0,1.0,225000.0,7.7,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
5008956,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008957,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008959,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008960,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008962,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008963,49.0,0.0,135000.0,4.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Construcao Civil,0
5008966,44.0,0.0,157500.0,2.4,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
5008967,44.0,0.0,157500.0,2.4,2.0,0,1,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Outros,0
5008975,61.0,0.0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5008977,61.0,0.0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5008978,61.0,0.0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5008979,61.0,0.0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5008980,61.0,0.0,112500.0,-1.0,2.0,0,1,0,0,0,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5008984,57.0,0.0,112500.0,6.5,2.0,1,1,0,1,0,Servidor publico,Ensino medio,Casado,Casa propria,Motorista,0
5008988,57.0,0.0,112500.0,6.5,2.0,1,1,0,1,0,Servidor publico,Ensino medio,Casado,Casa propria,Motorista,0
5008991,45.0,0.0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
5008993,45.0,0.0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
5008994,45.0,0.0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
5008995,45.0,0.0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
5112861,45.0,0.0,270000.0,3.3,1.0,1,1,1,1,0,Empregado,Ensino medio,Separado,Casa propria,Limpeza,0
5009000,27.0,0.0,157500.0,2.3,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5009016,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009018,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009019,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009020,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009022,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009023,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009025,42.0,2.0,216000.0,8.5,4.0,0,1,0,0,1,Servidor publico,Ensino superior,Casado,Casa propria,Outros,0
5009027,54.0,0.0,270000.0,15.0,2.0,1,1,0,0,1,Associado comercial,Ensino medio,Casado,Casa propria,Construcao Civil,0
5112862,54.0,0.0,270000.0,15.0,2.0,1,1,0,0,1,Associado comercial,Ensino medio,Casado,Casa propria,Construcao Civil,0
5009029,40.0,0.0,225000.0,7.6,2.0,1,1,0,0,0,Associado comercial,Ensino medio,Casado,Casa propria,Construcao Civil,0
5009031,29.0,0.0,315000.0,3.3,1.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Contabilidade,0
5009032,29.0,0.0,315000.0,3.3,1.0,0,1,0,0,0,Empregado,Ensino medio,Solteiro,Casa propria,Contabilidade,0
5009033,51.0,0.0,255150.0,-1.0,2.0,0,0,0,0,0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,Outros,0
5009034,51.0,0.0,255150.0,-1.0,2.0,0,0,0,0,0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,Outros,0
5009036,51.0,0.0,255150.0,-1.0,2.0,0,0,0,0,0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,Outros,0
5009037,51.0,0.0,255150.0,-1.0,2.0,0,0,0,0,0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,Outros,0
5009038,51.0,0.0,255150.0,-1.0,2.0,0,0,0,0,0,Pensionista,Ensino superior incompleto,Uniao estavel,Alugado,Outros,0
5009042,48.0,0.0,148500.0,2.4,2.0,0,1,0,0,0,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009043,48.0,0.0,148500.0,2.4,2.0,0,1,0,0,0,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009044,48.0,0.0,148500.0,2.4,2.0,0,1,0,0,0,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009045,48.0,0.0,148500.0,2.4,2.0,0,1,0,0,0,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009050,30.0,2.0,202500.0,6.3,4.0,0,1,0,0,1,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009051,30.0,2.0,202500.0,6.3,4.0,0,1,0,0,1,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009052,30.0,2.0,202500.0,6.3,4.0,0,1,0,0,1,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009053,30.0,2.0,202500.0,6.3,4.0,0,1,0,0,1,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009055,30.0,2.0,202500.0,6.3,4.0,0,1,0,0,1,Empregado,Ensino superior,Casado,Casa propria,Equipe principal,0
5009062,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009063,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009066,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009068,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009069,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009070,29.0,0.0,315000.0,5.7,2.0,1,1,0,0,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Venda,0
5009071,28.0,0.0,270000.0,8.7,2.0,1,1,0,1,1,Associado comercial,Ensino superior incompleto,Uniao estavel,Habitacao publica,Alta tecnologia,0
5009072,28.0,0.0,270000.0,8.7,2.0,1,1,0,1,1,Associado comercial,Ensino superior incompleto,Uniao estavel,Habitacao publica,Alta tecnologia,0
5009074,49.0,1.0,315000.0,1.9,3.0,1,1,0,1,1,Servidor publico,Ensino superior,Casado,Casa propria,Equipe principal,0
5009075,49.0,1.0,315000.0,1.9,3.0,1,1,0,1,1,Servidor publico,Ensino superior,Casado,Casa propria,Equipe principal,0
5009078,39.0,1.0,180000.0,3.5,3.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5009079,28.0,0.0,112500.0,8.7,2.0,0,1,0,0,1,Empregado,Ensino superior,Uniao estavel,Casa propria,Construcao Civil,0
5009080,28.0,0.0,112500.0,8.7,2.0,0,1,0,0,1,Empregado,Ensino superior,Uniao estavel,Casa propria,Construcao Civil,0
5009081,28.0,0.0,112500.0,8.7,2.0,0,1,0,0,1,Empregado,Ensino superior,Uniao estavel,Casa propria,Construcao Civil,0
5009083,56.0,0.0,90000.0,15.0,2.0,0,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5009088,40.0,2.0,202500.0,8.2,4.0,1,0,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Construcao Civil,0
5009089,40.0,2.0,202500.0,8.2,4.0,1,0,0,0,0,Associado comercial,Ensino superior,Casado,Casa propria,Construcao Civil,0
5009090,35.0,0.0,247500.0,11.0,2.0,1,1,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Motorista,0
5009096,37.0,1.0,270000.0,12.0,3.0,0,1,0,0,1,Associado comercial,Ensino medio,Casado,Casa propria,Contabilidade,0
5009097,37.0,1.0,270000.0,12.0,3.0,0,1,0,0,1,Associado comercial,Ensino medio,Casado,Casa propria,Contabilidade,0
5009098,37.0,1.0,270000.0,12.0,3.0,0,1,0,0,1,Associado comercial,Ensino medio,Casado,Casa propria,Contabilidade,0
5009099,36.0,0.0,315000.0,1.5,1.0,0,1,0,0,0,Empregado,Ensino superior,Separado,Casa propria,Gerencia,0
5009100,36.0,0.0,315000.0,1.5,1.0,0,1,0,0,0,Empregado,Ensino superior,Separado,Casa propria,Gerencia,0
5009103,35.0,2.0,157500.0,11.1,4.0,1,1,0,1,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5009104,35.0,2.0,157500.0,11.1,4.0,1,1,0,1,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5009105,35.0,2.0,157500.0,11.1,4.0,1,1,0,1,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5009106,35.0,2.0,157500.0,11.1,4.0,1,1,0,1,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5112876,35.0,2.0,157500.0,11.1,4.0,1,1,0,1,0,Empregado,Ensino medio,Casado,Mora com os pais,Motorista,0
5009109,42.0,0.0,315000.0,7.5,2.0,0,1,0,0,0,Associado comercial,Ensino medio,Casado,Casa propria,Seguranca,0
5009116,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009117,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009118,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009120,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009122,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009123,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009124,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009125,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009126,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009127,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009128,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009130,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009131,43.0,0.0,157500.0,1.2,1.0,0,0,0,0,0,Associado comercial,Ensino superior,Separado,Mora com os pais,Outros,0
5009133,59.0,0.0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
5009134,59.0,0.0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
5009136,59.0,0.0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
5009138,59.0,0.0,315000.0,-1.0,1.0,0,1,0,0,0,Pensionista,Ensino medio,Viuvo,Casa propria,Outros,0
5009141,26.0,0.0,135000.0,4.3,2.0,0,0,1,1,0,Empregado,Ensino medio,Uniao estavel,Casa propria,Gerencia,0
5009145,43.0,0.0,315000.0,10.2,2.0,1,0,1,1,0,Empregado,Ensino superior,Casado,Casa propria,Gerencia,0
5009146,43.0,0.0,315000.0,10.2,2.0,1,0,1,1,0,Empregado,Ensino superior,Casado,Casa propria,Gerencia,0
5009147,43.0,0.0,315000.0,10.2,2.0,1,0,1,1,0,Empregado,Ensino superior,Casado,Casa propria,Gerencia,0
5009150,43.0,0.0,315000.0,10.2,2.0,1,0,1,1,0,Empregado,Ensino superior,Casado,Casa propria,Gerencia,0
5009151,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009152,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009153,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009154,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009155,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009156,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009157,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009158,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009159,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009160,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009161,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009162,54.0,0.0,180000.0,7.9,2.0,0,0,0,0,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009163,35.0,0.0,157500.0,8.7,2.0,0,0,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009164,35.0,0.0,157500.0,8.7,2.0,0,0,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009165,35.0,0.0,157500.0,8.7,2.0,0,0,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009166,35.0,0.0,157500.0,8.7,2.0,0,0,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009168,35.0,0.0,157500.0,8.7,2.0,0,0,0,1,0,Empregado,Ensino medio,Casado,Casa propria,Venda,0
5009170,63.0,0.0,144000.0,-1.0,2.0,1,0,0,1,1,Pensionista,Ensino medio,Casado,Casa propria,Outros,0
5009177,50.0,0.0,229500.0,3.4,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,Construcao Civil,0
5009178,50.0,0.0,229500.0,3.4,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,Construcao Civil,0
5009179,50.0,0.0,229500.0,3.4,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,Construcao Civil,0
5009180,50.0,0.0,229500.0,3.4,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,Construcao Civil,0
5009181,50.0,0.0,229500.0,3.4,2.0,1,0,0,0,0,Empregado,Ensino superior incompleto,Casado,Cooperativa habitacional,Construcao Civil,0
